epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.9816768765449524,0.3595372438430786,0.6404629349708557,1e-04,0.8305631875991821,0.0125664621591568,0.9875044226646423
1,0.986038088798523,0.4515641927719116,0.5484357476234436,1e-04,0.960780918598175,0.21815098822116852,0.7836930751800537
2,0.9887219667434692,0.5357389450073242,0.4642610251903534,1e-04,0.9864609837532043,0.46670448780059814,0.5343620777130127
3,0.990375280380249,0.6072995662689209,0.39270052313804626,1e-04,0.9845286011695862,0.4704223573207855,0.532177209854126
0,0.9917648434638977,0.6832823157310486,0.3167177140712738,1e-04,0.9894524812698364,0.6233042478561401,0.3764498233795166
1,0.992247998714447,0.7140642404556274,0.28593555092811584,1e-04,0.9875529408454895,0.648733377456665,0.35014548897743225
2,0.9927933812141418,0.7435632348060608,0.256436824798584,1e-04,0.988655149936676,0.6755629777908325,0.32312440872192383
3,0.9930691123008728,0.7623142600059509,0.2376856654882431,1e-04,0.9905353784561157,0.6684350967407227,0.3306742012500763
4,0.9937043786048889,0.7884055972099304,0.2115943431854248,1e-04,0.9916612505912781,0.7159676551818848,0.28449785709381104
5,0.9940281510353088,0.8044599294662476,0.19553999602794647,1e-04,0.99135422706604,0.6969262361526489,0.30216819047927856
6,0.994415819644928,0.8209443092346191,0.17905588448047638,1e-04,0.9920510649681091,0.7280879616737366,0.2693128287792206
7,0.9947060346603394,0.8342671990394592,0.16573259234428406,1e-04,0.992708683013916,0.7569236755371094,0.24167296290397644
8,0.9948211908340454,0.8408612012863159,0.15913856029510498,1e-04,0.9911993741989136,0.7485058307647705,0.25123026967048645
9,0.9946142435073853,0.8376537561416626,0.16234615445137024,1e-04,0.9927397966384888,0.770510733127594,0.22778993844985962
10,0.9952480792999268,0.859110951423645,0.14088928699493408,1e-04,0.9917633533477783,0.7289361953735352,0.26960334181785583
11,0.9954262971878052,0.8661597371101379,0.133840411901474,1e-04,0.9926838874816895,0.7748904228210449,0.22347107529640198
12,0.995736837387085,0.8773300051689148,0.12266974151134491,1e-04,0.9925723671913147,0.7691483497619629,0.22845439612865448
13,0.9958274960517883,0.8816012144088745,0.11839867383241653,1e-04,0.9925900101661682,0.7651177048683167,0.23395408689975739
14,0.9956106543540955,0.8764600157737732,0.12354005128145218,1e-04,0.992755651473999,0.7689411044120789,0.2285875380039215
15,0.995935320854187,0.8869705200195312,0.11302974075078964,1e-04,0.992538571357727,0.7807002663612366,0.2182142287492752
16,0.9960698485374451,0.8919385671615601,0.10806117206811905,1e-04,0.9931520819664001,0.7915345430374146,0.2065630704164505
17,0.9961044788360596,0.8937476277351379,0.10625264048576355,1e-04,0.9929379820823669,0.7947190999984741,0.20392096042633057
18,0.9962557554244995,0.8993337750434875,0.1006661206483841,1e-04,0.993079662322998,0.7900065183639526,0.20845569670200348
19,0.9963844418525696,0.9040724635124207,0.09592755883932114,1e-04,0.9928732514381409,0.7863554358482361,0.21236933767795563
20,0.9964669346809387,0.9067675471305847,0.09323225170373917,1e-04,0.9927855730056763,0.7846501469612122,0.21397489309310913
21,0.9959586262702942,0.8917000889778137,0.1082998663187027,1e-04,0.9926819801330566,0.7924590110778809,0.2060701847076416
22,0.9961736798286438,0.8985790610313416,0.10142078995704651,1e-04,0.9921305775642395,0.7572528719902039,0.23965060710906982
23,0.9966133832931519,0.9125872254371643,0.08741261065006256,1e-05,0.9934428930282593,0.8098323941230774,0.18865971267223358
24,0.9968539476394653,0.9199621677398682,0.08003783971071243,1e-05,0.9934942722320557,0.812328577041626,0.18659131228923798
25,0.9969518780708313,0.9230218529701233,0.07697833329439163,1e-05,0.9934864044189453,0.8116797208786011,0.18728221952915192
26,0.9970166683197021,0.9250582456588745,0.07494205236434937,1e-05,0.9934966564178467,0.8116549253463745,0.1872550994157791
27,0.9970725774765015,0.9267737865447998,0.07322603464126587,1e-05,0.9935097098350525,0.8114809989929199,0.1872553676366806
28,0.9971218109130859,0.9282938241958618,0.07170610129833221,1e-05,0.9934921860694885,0.8105151057243347,0.1882091760635376
29,0.9971652030944824,0.929661750793457,0.07033786177635193,1e-05,0.9934993386268616,0.8107578158378601,0.18799206614494324
30,0.9971951842308044,0.9308335781097412,0.06916642934083939,1e-06,0.993524968624115,0.8091748356819153,0.1893356591463089
31,0.9972123503684998,0.9311798214912415,0.06882050633430481,1e-06,0.9935280084609985,0.8092978596687317,0.18920649588108063
32,0.9972200393676758,0.9313888549804688,0.0686112567782402,1e-06,0.993529200553894,0.8093422055244446,0.1891622692346573
33,0.9972264170646667,0.9315833449363708,0.06841664016246796,1e-06,0.9935299754142761,0.8093165159225464,0.18918867409229279
34,0.9972326755523682,0.9317677617073059,0.06823240965604782,1e-06,0.9935289025306702,0.809272825717926,0.18923304975032806
35,0.9972434639930725,0.9320365190505981,0.06796353310346603,1e-07,0.9935304522514343,0.8094710111618042,0.18904036283493042
36,0.9972440004348755,0.9320662021636963,0.06793384253978729,1e-07,0.9935308694839478,0.8095712661743164,0.18894381821155548
37,0.9972445964813232,0.932091474533081,0.06790851801633835,1e-07,0.9935315847396851,0.8096296191215515,0.1888880729675293
38,0.9972445964813232,0.9321147799491882,0.06788527220487595,1e-07,0.9935315847396851,0.8096650242805481,0.1888548582792282
39,0.9972452521324158,0.9321371912956238,0.06786300241947174,1e-07,0.9935318827629089,0.8096862435340881,0.18883495032787323
40,0.997245728969574,0.9321588277816772,0.0678410679101944,1e-07,0.9935323596000671,0.8096982836723328,0.18882407248020172
41,0.9972463846206665,0.9321808815002441,0.06781908869743347,1e-07,0.9935325384140015,0.8097031712532043,0.1888200044631958
42,0.997247040271759,0.9322031140327454,0.06779690086841583,1e-07,0.993532657623291,0.8097041249275208,0.18881957232952118
43,0.9972477555274963,0.9322256445884705,0.06777435541152954,1e-07,0.9935322403907776,0.8097023367881775,0.18882165849208832
44,0.9972485899925232,0.9322486519813538,0.06775141507387161,1e-07,0.9935318827629089,0.8096979856491089,0.18882618844509125
