epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.09722307324409485,0.9027768969535828,1e-04,0.03351873531937599,0.9665694236755371
1,0.21471960842609406,0.7853134274482727,1e-04,0.032078661024570465,0.9679691791534424
2,0.28226417303085327,0.7169879674911499,1e-04,0.024741554632782936,0.9751721620559692
3,0.3289952278137207,0.6705908179283142,1e-04,0.010241140611469746,0.9897987246513367
4,0.37246599793434143,0.6276489496231079,1e-04,0.016916807740926743,0.9830814003944397
